RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
239.58334,27.23342,0.103,0.09079,8.67,10.73,274.7,343.4,95,188
140.10742,30.49406,0.292,19.3,24,245.7,300.7,69,126,
198.77182,51.81738,0.286,16.12,19.96,166.1,201.8,62,87,
126.37104,47.13348,0.135,0.12898,19.02,24.43,152.7,192.1,68,99
203.16008,50.55992,0.284,11.52,14.66,229.6,277.9,67,114,
354.41554,0.27138,0.286,0.2772,11.69,14.38,145.2,177.3,59,88
213.78496,-0.49325,0.135,0.13894,10.69,13.8,152.9,192.4,55,115
189.24684,63.18658,0.294,26.51,32.39,179,222.4,57,89,
216.48612,37.81645,0.167,0.17001,12.29,15.48,130.9,164,58,98
187.70363,10.54638,0.167,0.17051,14.83,18.54,115.8,142.6,51,70
227.54883,33.48646,0.122,11.95,14.96,147.3,182.4,65,99,
229.07472,0.08904,0.127,10.44,13.25,96.6,120.6,51,72,
120.23674,36.05655,0.286,0.28728,15.95,20.06,125.4,157.1,42,61
219.59112,3.67034,0.227,0.22467,16,19.98,117.9,144.2,50,68
180.31985,23.10909,0.262,8.67,10.95,218.7,268,87,139,
179.32219,33.61093,0.219,16.11,19.23,137.6,166.1,58,91,
168.53483,4.34408,0.232,12.36,15.37,89.9,112.1,42,53,
137.77335,61.12974,0.284,17.86,22.53,140.3,172.6,48,69,
137.21745,11.02649,0.173,0.16381,12.02,15.05,179,222.5,62,107
150.68705,20.49151,0.297,7.78,9.84,229.3,286.4,73,164,
142.01889,20.52921,0.208,14.17,17.69,140.9,171.1,62,91,
201.29666,57.60035,0.116,13.78,17.5,102.6,127.8,50,65,
35.99637,-8.59462,0.275,0.27048,15.56,18.99,88.5,109,38,49
192.38517,49.89549,0.275,0.28341,10.82,13.19,180,219,60,107
188.57278,9.76624,0.243,0.23054,17.9,21.95,174,209.9,61,98
184.48664,20.67138,0.216,12.45,14.95,130.8,159.7,51,70,
145.71205,3.32135,0.278,11.02,13.73,77,96.8,38,50,
139.47261,51.72704,0.224,12.55,15,144.8,173.6,69,90,
174.05437,40.04327,0.292,8.27,10.58,146.5,183.4,51,85,
154.96706,40.98847,0.103,0.09143,9.52,12.11,64.9,80.4,41,50
203.59529,37.47684,0.3,17.49,20.91,84.1,102.1,36,44,
